experience_years,test_score,interview_score,communication,performance_score,hire_decision,degree,city,application_source,hobby,preferred_language
6.63,97,2,2,47,Reject,MBA,Bangalore,Website,Photography,French
10.1,38,7,9,58,Hold,BCA,Kolkata,Referral,Sports,English
1.49,64,4,8,69,Hold,MBA,Bangalore,Referral,Travel,Spanish
3.35,58,3,7,55,Hold,MCA,Kolkata,Indeed,Sports,German
7.03,31,5,9,44,Reject,M.Tech,Mumbai,Indeed,Travel,German
11.64,49,9,3,49,Reject,B.Sc,Bangalore,Campus,Sports,German
6.73,93,7,6,80,Hire,MBA,Bangalore,Indeed,Music,English
0.22,25,3,2,20,Reject,M.Tech,Pune,Website,Photography,German
9.61,50,1,7,51,Hold,B.Sc,Delhi,Campus,Reading,Hindi
2.8,64,7,6,55,Hold,M.Tech,Pune,Website,Sports,English
9.69,21,3,7,24,Reject,MCA,Delhi,LinkedIn,Travel,German
4.65,58,3,6,49,Reject,M.Tech,Hyderabad,Referral,Photography,Spanish
10.36,24,6,1,29,Reject,B.Tech,Hyderabad,LinkedIn,Photography,Spanish
8.97,52,10,9,70,Hire,MCA,Chennai,Referral,Gaming,English
6.67,90,3,6,71,Hire,B.Sc,Bangalore,Website,Photography,Hindi
1.64,80,7,6,57,Hold,M.Tech,Kolkata,LinkedIn,Sports,English
0.72,23,9,8,51,Hold,B.Sc,Hyderabad,Indeed,Music,French
1.46,32,4,4,32,Reject,MCA,Chennai,LinkedIn,Music,Spanish
0.53,87,6,1,48,Reject,BCA,Bangalore,Referral,Sports,English
1.29,31,8,8,37,Reject,MCA,Kolkata,Campus,Gaming,Spanish
2.71,33,3,4,31,Reject,M.Tech,Delhi,Indeed,Music,French
8.56,48,8,5,59,Hold,BCA,Kolkata,Indeed,Photography,Spanish
6.72,23,2,1,28,Reject,B.Tech,Delhi,LinkedIn,Gaming,English
0.15,90,5,4,55,Hold,M.Tech,Chennai,Referral,Gaming,German
0.86,48,2,8,42,Reject,B.Sc,Delhi,LinkedIn,Gaming,German
11.61,94,9,7,85,Hire,B.Sc,Delhi,Indeed,Sports,English
6.82,35,8,1,32,Reject,BCA,Delhi,Indeed,Gaming,Spanish
2.44,61,9,5,58,Hold,MCA,Chennai,Website,Gaming,Hindi
3.03,33,7,8,52,Hold,B.Tech,Pune,Indeed,Gaming,French
8.93,21,1,9,35,Reject,BCA,Delhi,Website,Photography,French
2.35,71,7,3,62,Hold,M.Tech,Mumbai,LinkedIn,Reading,French
6.98,96,8,3,77,Hire,MCA,Pune,Indeed,Travel,English
11.64,91,3,10,74,Hire,MCA,Hyderabad,Campus,Music,Spanish
10.16,75,5,10,69,Hold,B.Sc,Delhi,Referral,Reading,Spanish
2.88,29,9,8,41,Reject,MCA,Kolkata,Campus,Photography,French
5.93,100,9,5,73,Hire,B.Sc,Pune,Indeed,Reading,Hindi
7.44,27,9,10,60,Hold,MBA,Mumbai,Indeed,Travel,Spanish
9.95,47,5,8,50,Hold,M.Tech,Chennai,Website,Gaming,English
1.88,64,2,10,55,Hold,BCA,Pune,Indeed,Reading,French
0.22,25,6,6,36,Reject,BCA,Kolkata,Website,Sports,French
0.84,66,6,2,53,Hold,MBA,Hyderabad,Campus,Gaming,French
5.84,98,8,10,80,Hire,MCA,Mumbai,LinkedIn,Music,Spanish
7.28,89,9,2,71,Hire,B.Tech,Hyderabad,LinkedIn,Travel,Spanish
6.83,70,7,2,52,Hold,B.Sc,Chennai,Indeed,Music,German
3.81,84,4,10,62,Hold,BCA,Pune,LinkedIn,Sports,Hindi
11.86,80,2,9,57,Hold,B.Sc,Pune,LinkedIn,Gaming,Spanish
6.96,52,2,1,37,Reject,B.Tech,Kolkata,Indeed,Sports,German
4.56,47,6,4,33,Reject,B.Sc,Delhi,Campus,Music,Hindi
6.61,64,7,8,56,Hold,M.Tech,Delhi,Referral,Reading,German
8.94,64,7,7,55,Hold,B.Sc,Hyderabad,Website,Reading,Spanish
8.03,63,5,6,61,Hold,B.Tech,Pune,LinkedIn,Gaming,German
3.18,44,3,9,39,Reject,MCA,Pune,Campus,Reading,Hindi
0.8,38,5,9,47,Reject,BCA,Chennai,Referral,Music,German
4.44,95,4,6,63,Hold,B.Sc,Kolkata,Referral,Photography,Hindi
7.56,99,9,10,89,Hire,M.Tech,Bangalore,Website,Travel,German
2.52,20,5,9,36,Reject,MBA,Delhi,LinkedIn,Gaming,Hindi
9.03,74,6,1,56,Hold,B.Tech,Pune,Website,Music,German
0.8,66,4,8,57,Hold,MBA,Chennai,Indeed,Sports,Spanish
3.12,21,4,8,27,Reject,B.Tech,Chennai,Indeed,Travel,French
9.66,39,10,6,64,Hold,MBA,Pune,Indeed,Sports,English
2.32,90,1,3,55,Hold,M.Tech,Bangalore,Campus,Travel,English
7.67,90,1,9,75,Hire,M.Tech,Mumbai,Campus,Photography,Spanish
6.3,54,3,5,52,Hold,B.Sc,Pune,Website,Photography,German
11.1,82,7,8,72,Hire,B.Sc,Hyderabad,LinkedIn,Photography,English
3.16,29,3,1,34,Reject,BCA,Pune,Website,Music,German
0.79,24,4,5,31,Reject,M.Tech,Mumbai,Referral,Reading,French
8.82,82,6,8,66,Hold,B.Tech,Delhi,Indeed,Sports,German
9.27,68,6,3,67,Hold,B.Tech,Chennai,Campus,Gaming,German
10.89,66,4,5,52,Hold,M.Tech,Chennai,Indeed,Photography,French
11.18,68,10,1,46,Reject,M.Tech,Pune,Referral,Reading,English
0.17,100,9,4,83,Hire,M.Tech,Chennai,Campus,Music,Hindi
2.81,30,9,3,37,Reject,B.Sc,Hyderabad,LinkedIn,Reading,German
7.4,90,3,5,56,Hold,BCA,Delhi,Referral,Sports,French
11.39,45,10,6,60,Hold,MBA,Chennai,LinkedIn,Photography,Hindi
11.4,39,8,4,52,Hold,B.Tech,Pune,LinkedIn,Sports,German
6.68,28,3,8,44,Reject,B.Sc,Hyderabad,LinkedIn,Travel,German
10.99,84,7,9,86,Hire,MBA,Mumbai,Campus,Sports,Hindi
7.7,22,9,1,39,Reject,MBA,Kolkata,Indeed,Reading,Hindi
4.68,92,9,5,74,Hire,MCA,Kolkata,Campus,Gaming,Spanish
5.83,84,3,3,50,Hold,MBA,Hyderabad,Website,Travel,English
7.25,39,8,2,38,Reject,BCA,Delhi,Website,Travel,Hindi
6.59,93,4,2,61,Hold,MCA,Chennai,LinkedIn,Sports,Hindi
11.11,86,5,10,75,Hire,B.Tech,Delhi,LinkedIn,Reading,English
11.02,51,8,5,56,Hold,M.Tech,Mumbai,Referral,Gaming,English
4.74,85,8,9,79,Hire,MCA,Mumbai,LinkedIn,Reading,French
11.56,84,10,4,70,Hire,M.Tech,Delhi,Referral,Reading,Spanish
2.09,88,9,8,81,Hire,MCA,Bangalore,LinkedIn,Photography,German
1.52,65,10,7,61,Hold,BCA,Delhi,Website,Photography,English
1.62,42,10,1,39,Reject,MBA,Hyderabad,Campus,Gaming,French
6.07,74,9,8,67,Hold,MCA,Bangalore,Website,Travel,German
0.26,81,7,7,62,Hold,M.Tech,Pune,Referral,Music,Spanish
11.38,67,5,3,46,Reject,B.Tech,Bangalore,LinkedIn,Sports,French
9.93,44,6,3,56,Hold,MBA,Hyderabad,LinkedIn,Reading,French
0.18,43,3,2,20,Reject,MCA,Bangalore,Indeed,Music,English
2.11,46,2,5,34,Reject,B.Tech,Chennai,LinkedIn,Photography,German
3.98,53,2,3,45,Reject,B.Tech,Hyderabad,LinkedIn,Photography,French
1.57,60,5,4,53,Hold,MCA,Mumbai,LinkedIn,Sports,French
9.71,38,9,4,53,Hold,M.Tech,Delhi,Campus,Gaming,German
4.14,34,4,9,42,Reject,B.Tech,Chennai,Campus,Sports,Spanish
11.28,58,6,6,55,Hold,MBA,Mumbai,LinkedIn,Travel,French
6.98,83,10,10,76,Hire,B.Tech,Bangalore,Campus,Photography,Hindi
10.55,26,10,3,33,Reject,BCA,Chennai,LinkedIn,Sports,Spanish
10.14,91,7,4,66,Hold,B.Sc,Chennai,Referral,Reading,German
10.86,72,9,5,67,Hold,B.Sc,Hyderabad,Website,Photography,Hindi
5.52,34,7,3,45,Reject,B.Tech,Kolkata,Indeed,Reading,English
6.56,63,3,4,39,Reject,M.Tech,Pune,Website,Music,English
9.58,99,1,4,70,Hire,BCA,Mumbai,Referral,Sports,German
3.43,60,7,4,50,Hold,MBA,Mumbai,Referral,Photography,English
5.88,41,10,10,63,Hold,B.Tech,Chennai,Indeed,Travel,Spanish
7.19,80,8,4,66,Hold,B.Tech,Kolkata,Campus,Reading,English
0.19,42,6,1,39,Reject,MCA,Mumbai,LinkedIn,Travel,Spanish
7.12,68,6,4,59,Hold,B.Sc,Mumbai,Campus,Music,Spanish
5.2,91,7,6,64,Hold,MCA,Chennai,LinkedIn,Music,French
9.69,57,10,10,80,Hire,BCA,Chennai,LinkedIn,Reading,French
3.78,86,5,3,56,Hold,B.Sc,Chennai,Indeed,Gaming,Spanish
10.71,76,7,5,70,Hire,M.Tech,Hyderabad,Campus,Music,French
6.93,70,5,3,47,Reject,B.Sc,Hyderabad,Referral,Reading,English
2.21,85,2,3,53,Hold,MBA,Pune,Referral,Music,English
9.46,40,10,1,42,Reject,MCA,Mumbai,Indeed,Photography,French
7.34,20,1,7,24,Reject,B.Tech,Hyderabad,Campus,Reading,German
0.65,95,2,10,59,Hold,MCA,Kolkata,Website,Travel,English
5.04,34,2,2,23,Reject,MBA,Hyderabad,Website,Sports,French
8.15,46,6,5,50,Hold,MBA,Chennai,Referral,Music,German
11.02,91,10,3,73,Hire,B.Tech,Pune,Indeed,Reading,Spanish
0.0,94,9,10,86,Hire,B.Sc,Bangalore,Website,Travel,Hindi
11.72,46,4,9,67,Hold,BCA,Hyderabad,Campus,Gaming,English
4.52,25,3,3,27,Reject,M.Tech,Kolkata,Referral,Travel,Hindi
11.69,95,1,8,73,Hire,B.Sc,Hyderabad,Website,Sports,French
7.26,87,10,1,68,Hold,B.Tech,Bangalore,Campus,Photography,English
9.95,35,7,1,40,Reject,BCA,Chennai,Website,Sports,Hindi
6.9,97,7,4,71,Hire,M.Tech,Kolkata,Website,Music,Hindi
7.54,44,4,8,61,Hold,MBA,Chennai,Referral,Photography,English
3.43,46,2,6,46,Reject,B.Tech,Chennai,Referral,Music,French
7.04,76,10,1,63,Hold,M.Tech,Delhi,Indeed,Music,Spanish
9.0,98,10,3,83,Hire,BCA,Kolkata,Campus,Photography,French
10.3,21,2,1,23,Reject,BCA,Delhi,Website,Photography,German
9.06,41,6,10,51,Hold,MCA,Hyderabad,Campus,Gaming,Hindi
8.38,98,10,2,66,Hold,B.Sc,Hyderabad,Website,Travel,English
10.37,20,1,10,30,Reject,BCA,Kolkata,Referral,Sports,Hindi
3.87,80,5,4,50,Hold,M.Tech,Pune,Referral,Sports,French
8.05,94,2,1,58,Hold,B.Sc,Bangalore,LinkedIn,Gaming,Spanish
5.41,72,6,10,79,Hire,MCA,Mumbai,LinkedIn,Gaming,German
4.59,63,1,9,65,Hold,BCA,Kolkata,Website,Photography,Spanish
4.93,83,7,7,62,Hold,MCA,Bangalore,Indeed,Travel,Hindi
4.82,48,5,9,59,Hold,B.Tech,Pune,Campus,Gaming,Spanish
3.81,78,6,9,72,Hire,M.Tech,Mumbai,LinkedIn,Sports,Hindi
7.46,32,9,3,48,Reject,MBA,Pune,Referral,Travel,French
5.16,33,2,8,43,Reject,MBA,Chennai,Campus,Photography,German
11.69,28,7,4,41,Reject,B.Tech,Hyderabad,Indeed,Music,Spanish
8.13,89,8,7,78,Hire,MCA,Hyderabad,LinkedIn,Music,Hindi
2.38,46,10,9,66,Hold,BCA,Chennai,Referral,Music,French
5.12,83,5,7,75,Hire,M.Tech,Mumbai,LinkedIn,Reading,German
4.12,23,7,3,24,Reject,B.Tech,Pune,LinkedIn,Photography,Spanish
9.57,24,10,7,56,Hold,MCA,Bangalore,Campus,Sports,English
10.56,54,2,1,41,Reject,M.Tech,Hyderabad,Referral,Sports,French
10.85,79,3,5,67,Hold,B.Tech,Bangalore,Indeed,Gaming,Hindi
7.95,27,5,3,35,Reject,B.Sc,Chennai,Campus,Music,French
3.24,95,6,7,68,Hold,MBA,Pune,Website,Travel,English
3.03,60,3,6,46,Reject,MCA,Delhi,Indeed,Travel,French
10.26,39,6,10,59,Hold,MCA,Mumbai,Referral,Sports,Spanish
6.33,88,9,5,78,Hire,MCA,Pune,LinkedIn,Gaming,Hindi
9.63,47,10,8,58,Hold,MCA,Pune,Referral,Gaming,Hindi
6.87,25,3,7,39,Reject,BCA,Chennai,Referral,Photography,French
8.8,20,9,2,40,Reject,M.Tech,Bangalore,Referral,Sports,German
6.23,64,1,9,59,Hold,MBA,Hyderabad,Indeed,Reading,German
9.25,73,5,10,76,Hire,B.Tech,Pune,LinkedIn,Sports,English
6.83,74,5,8,69,Hold,B.Sc,Bangalore,LinkedIn,Travel,English
5.59,87,6,7,66,Hold,MBA,Chennai,Referral,Reading,English
4.11,49,10,8,53,Hold,M.Tech,Kolkata,Website,Travel,Spanish
0.82,41,4,7,47,Reject,MBA,Kolkata,Website,Gaming,Hindi
4.54,56,1,7,39,Reject,B.Sc,Delhi,Indeed,Sports,Hindi
0.96,59,4,8,62,Hold,B.Sc,Delhi,Website,Reading,English
11.79,73,2,10,67,Hold,B.Sc,Pune,Website,Reading,Hindi
2.18,83,9,4,63,Hold,B.Sc,Hyderabad,LinkedIn,Reading,English
9.74,36,3,3,38,Reject,B.Tech,Kolkata,Referral,Sports,English
10.5,91,1,9,69,Hold,MBA,Kolkata,Website,Gaming,English
8.26,96,4,4,75,Hire,MCA,Hyderabad,LinkedIn,Photography,English
6.83,82,1,3,52,Hold,B.Sc,Chennai,Indeed,Music,Hindi
1.93,92,7,1,55,Hold,MBA,Pune,Indeed,Music,French
5.6,41,7,1,44,Reject,MCA,Hyderabad,Indeed,Gaming,English
4.14,93,7,4,68,Hold,B.Tech,Delhi,Website,Sports,German
2.7,38,9,6,52,Hold,B.Sc,Chennai,Referral,Travel,English
7.11,74,4,9,65,Hold,BCA,Hyderabad,LinkedIn,Sports,German
3.75,94,10,7,88,Hire,BCA,Pune,Website,Reading,French
11.0,93,7,9,83,Hire,B.Tech,Mumbai,LinkedIn,Travel,Hindi
10.92,23,3,5,34,Reject,MCA,Pune,LinkedIn,Travel,German
3.09,50,8,1,42,Reject,B.Sc,Pune,Referral,Reading,Spanish
1.33,98,6,1,63,Hold,B.Tech,Delhi,Website,Reading,Hindi
2.32,89,4,9,76,Hire,B.Sc,Mumbai,Referral,Gaming,German
6.0,36,10,3,44,Reject,M.Tech,Bangalore,Website,Travel,German
8.74,52,8,6,64,Hold,MCA,Bangalore,Campus,Gaming,Spanish
2.5,68,10,4,63,Hold,MBA,Chennai,Indeed,Photography,French
2.98,37,10,5,40,Reject,B.Sc,Kolkata,Indeed,Gaming,German
10.22,43,6,2,45,Reject,M.Tech,Delhi,Indeed,Sports,German
4.99,95,6,6,73,Hire,M.Tech,Pune,Campus,Music,Hindi
7.4,84,10,7,80,Hire,BCA,Kolkata,Campus,Sports,Spanish
2.8,83,7,6,66,Hold,MCA,Chennai,Website,Reading,French
1.22,90,4,1,45,Reject,B.Tech,Hyderabad,Website,Sports,German
6.19,79,10,7,68,Hold,BCA,Kolkata,LinkedIn,Gaming,English
5.73,47,1,7,39,Reject,B.Sc,Delhi,Campus,Photography,Spanish
1.83,74,6,9,70,Hire,MCA,Pune,Referral,Travel,Spanish
7.46,55,3,2,37,Reject,B.Tech,Pune,LinkedIn,Sports,French
6.53,49,5,8,64,Hold,MCA,Pune,Indeed,Photography,Hindi
7.85,48,5,2,43,Reject,M.Tech,Pune,LinkedIn,Music,French
1.73,52,2,5,39,Reject,B.Sc,Hyderabad,Campus,Music,French
9.02,73,5,1,48,Reject,MBA,Bangalore,LinkedIn,Photography,French
2.66,97,8,9,74,Hire,BCA,Mumbai,Website,Sports,French
6.23,100,6,9,80,Hire,BCA,Chennai,Indeed,Photography,English
9.42,96,8,9,75,Hire,MCA,Pune,Referral,Sports,Hindi
0.27,23,9,2,31,Reject,B.Tech,Delhi,LinkedIn,Reading,German
3.89,89,1,4,52,Hold,B.Sc,Pune,LinkedIn,Travel,English
10.48,77,9,9,81,Hire,BCA,Kolkata,LinkedIn,Reading,Spanish
10.14,100,3,5,77,Hire,B.Sc,Chennai,Referral,Sports,French
6.46,67,9,7,69,Hold,B.Sc,Delhi,LinkedIn,Gaming,Hindi
10.4,38,5,3,44,Reject,B.Sc,Delhi,Campus,Sports,French
11.4,54,6,1,47,Reject,BCA,Pune,Indeed,Reading,Spanish
9.92,89,4,2,63,Hold,B.Sc,Hyderabad,Indeed,Gaming,English
10.25,96,5,1,60,Hold,MBA,Mumbai,LinkedIn,Sports,Spanish
1.18,52,1,8,49,Reject,BCA,Chennai,Website,Photography,Spanish
7.82,46,2,5,32,Reject,M.Tech,Mumbai,Indeed,Photography,French
8.44,20,2,5,34,Reject,M.Tech,Chennai,Indeed,Gaming,Hindi
7.32,94,5,3,45,Reject,B.Tech,Delhi,Campus,Music,English
9.6,39,8,4,57,Hold,MCA,Pune,Website,Music,Hindi
0.41,64,6,4,47,Reject,MBA,Pune,Indeed,Photography,English
9.24,48,4,8,52,Hold,MBA,Mumbai,Website,Gaming,English
8.78,23,2,6,34,Reject,BCA,Delhi,Referral,Gaming,German
3.12,72,6,6,56,Hold,BCA,Chennai,Referral,Music,English
3.08,77,6,9,57,Hold,M.Tech,Delhi,Referral,Sports,French
7.59,28,5,5,22,Reject,MBA,Kolkata,Referral,Travel,French
4.14,81,3,7,57,Hold,B.Tech,Delhi,Indeed,Sports,English
9.56,30,3,5,31,Reject,B.Tech,Chennai,Website,Reading,French
5.35,39,1,10,46,Reject,B.Sc,Chennai,Website,Reading,Hindi
9.39,47,6,5,49,Reject,B.Tech,Kolkata,Indeed,Gaming,Spanish
11.89,26,10,10,55,Hold,MCA,Pune,LinkedIn,Gaming,Hindi
3.6,55,9,1,48,Reject,M.Tech,Mumbai,LinkedIn,Reading,Hindi
1.72,73,6,3,64,Hold,MBA,Delhi,Website,Travel,English
